,APP_USER_SN,count_province,total_booking
216,264864.0,3,12
217,269294.0,3,30
218,271185.0,3,8
219,275173.0,3,3
220,275184.0,3,11
221,275449.0,3,10
222,276452.0,3,8
223,277138.0,3,12
224,282003.0,3,16
225,285224.0,3,5
226,295191.0,3,3
227,296137.0,3,9
228,298030.0,3,23
229,301306.0,3,8
230,301654.0,3,9
231,303502.0,3,18
232,303672.0,3,3
233,303793.0,3,4
234,307350.0,3,10
235,311934.0,3,24
236,319301.0,3,14
237,324775.0,3,22
238,324972.0,3,10
239,325937.0,3,7
240,330561.0,3,40
241,336723.0,3,3
242,338760.0,3,7
243,339654.0,3,3
244,341616.0,3,17
245,346459.0,3,24
246,346768.0,3,10
247,348994.0,3,4
248,351585.0,3,27
249,359599.0,3,4
250,359818.0,3,13
251,359870.0,3,7
252,364418.0,3,6
253,365304.0,3,23
254,367117.0,3,4
255,368510.0,3,3
256,368525.0,3,5
257,368781.0,3,8
258,372510.0,3,6
259,376321.0,3,7
260,377828.0,3,5
261,381376.0,3,6
262,383610.0,3,4
263,384847.0,3,3
264,385778.0,3,6
265,388335.0,3,8
266,390204.0,3,4
267,392261.0,3,10
268,393440.0,3,14
269,395679.0,3,10
270,399739.0,3,8
271,401144.0,3,6
272,402965.0,3,6
273,403491.0,3,8
274,404126.0,3,5
275,404851.0,3,16
276,407993.0,3,18
277,409529.0,3,12
278,411007.0,3,7
279,411302.0,3,6
280,413000.0,3,7
281,414120.0,3,15
282,414950.0,3,7
283,417032.0,3,4
284,418291.0,3,9
285,418549.0,3,7
286,421372.0,3,23
287,421505.0,3,6
288,424256.0,3,10
289,424879.0,3,30
290,426706.0,3,19
291,426848.0,3,10
292,427315.0,3,6
293,428888.0,3,26
294,429276.0,3,6
295,430048.0,3,3
296,430697.0,3,10
297,430932.0,3,10
298,432963.0,3,11
299,435109.0,3,5
300,436061.0,3,4
301,438631.0,3,5
302,439113.0,3,8
303,439188.0,3,4
304,439588.0,3,6
305,439726.0,3,3
306,440294.0,3,4
