A,B,confidence
"[584, 830, 2812]","[1018, 1462]",0.6319444444444444 0.6805555555555556 0.45138888888888884
"[584, 1462, 2812]","[3906, 2452, 1463, 1018, 830, 543]",0.3611111111111111 0.2817460317460318 0.3253968253968254 0.25793650793650796 0.28571428571428575 0.5476190476190477 0.25793650793650796
"[584, 1463, 2812]",[1462],0.6283185840707964
"[584, 3451]",[1462],0.5269461077844312
"[584, 3905]",[1462],0.6330275229357798
"[584, 3906]","[4817, 850, 2452, 1462, 1463, 1018, 2812]",0.24096385542168677 0.3283132530120482 0.3102409638554217 0.21084337349397592 0.2951807228915663 0.28915662650602414 0.6024096385542169 0.21084337349397592 0.22590361445783133 0.22289156626506026 0.2168674698795181
"[584, 1018, 3906]",[1462],0.7708333333333334
"[584, 1462, 3906]","[4817, 1018, 2812, 1463]",0.35000000000000003 0.375 0.37 0.36000000000000004
"[584, 1463, 3906]",[1462],0.7142857142857143
"[584, 2812, 3906]",[1462],0.6990291262135923
"[584, 4817]","[3906, 2812, 1462]",0.6267281105990783 0.5023041474654378 0.30414746543778803 0.3456221198156682
"[584, 1462, 4817]",[3906],0.5514705882352942
"[584, 3906, 4817]",[1462],0.6880733944954128
[600],"[648, 909, 1190]",0.18867924528301888 0.11202830188679246 0.19575471698113206
[621],[897],0.17232375979112272
[648],"[3214, 660, 909, 1190]",0.15955176093916756 0.13073639274279616 0.26147278548559233 0.10512273212379937
"[648, 660]",[1190],0.23411371237458192
"[648, 909]",[1190],0.5020408163265306
"[648, 951]",[1190],0.5609756097560975
"[648, 1190]","[660, 909, 3214, 951]",0.14081632653061224 0.15306122448979592 0.14285714285714285 0.2510204081632653
"[648, 3214]",[1190],0.38071065989847713
[651],"[2812, 1463]",0.3333333333333333 0.2784810126582279
[654],"[584, 1462]",0.32432432432432434 0.34234234234234234
[659],[660],0.480225988700565
[660],"[648, 584, 1462, 1018, 2812, 830, 543]",0.17485380116959068 0.16198830409356726 0.14912280701754388 0.16842105263157897 0.17192982456140352 0.10584795321637427 0.12339181286549708
"[543, 660]","[1018, 1462, 830]",0.32701421800947866 0.3364928909952607 0.3222748815165877
"[660, 830]","[1018, 2812, 1462, 543]",0.24909747292418769 0.3898916967509025 0.44765342960288806 0.33212996389891697 0.24909747292418769
"[660, 830, 2812]",[1018],0.6388888888888888
"[660, 1190]",[648],0.5147058823529412
"[660, 1462]","[584, 2452, 1018, 2812, 830, 543]",0.36458333333333326 0.3020833333333333 0.25 0.3194444444444444 0.37152777777777773 0.24652777777777776
"[660, 2812]","[584, 2452, 1462, 1018, 830]",0.3372549019607843 0.4235294117647059 0.3411764705882353 0.5176470588235293 0.2588235294117647 0.27058823529411763
[668],"[897, 730, 780]",0.11355081555834379 0.1248431618569636 0.11480552070263489
[705],"[725, 726, 1141, 728, 1721, 730, 3647]",0.10501750291715285 0.1353558926487748 0.14002333722287047 0.13652275379229872 0.14935822637106183 0.11085180863477245 0.12135355892648775
[722],"[806, 2218, 1067, 911, 726, 1721, 730]",0.10105680317040952 0.12483487450462351 0.17040951122853368 0.11624834874504625 0.10766182298546896 0.37714663143989435 0.1155878467635403
"[482, 722]",[911],0.5384615384615384
"[485, 722]",[911],0.4964028776978417
"[722, 726]",[911],0.5490196078431372
"[722, 806]",[911],0.5873015873015873
"[722, 869]",[911],0.5223880597014926
"[722, 910]",[911],0.5539568345323741
"[722, 911]","[864, 482, 1058, 485, 806, 869, 2218, 1067, 2413, 910, 1721, 726, 1977, 730]",0.11733800350262695 0.13485113835376533 0.16987740805604204 0.14711033274956217 0.19439579684763572 0.12434325744308232 0.1295971978984238 0.12084063047285463 0.12259194395796848 0.22767075306479861 0.18914185639229422 0.14711033274956217 0.11558669001751314 0.12259194395796848
"[722, 1058]",[911],0.5076923076923077
"[722, 1067]",[911],0.5511363636363636
"[722, 2413]",[911],0.6166666666666666
[725],"[897, 730]",0.104089219330855 0.2420487401900041
"[725, 4118]",[730],0.4213483146067416
[726],"[1721, 1052, 910]",0.22371177209886886 0.1658986175115207 0.1193967322999581
"[726, 910]",[1721],0.37878787878787884
"[726, 911]","[1721, 722]",0.42035398230088494 0.3716814159292035
[728],"[1569, 730, 725]",0.31232622798887855 0.1881371640407785 0.1000926784059314 0.1010194624652456
"[725, 728]",[730],0.5369458128078818
"[728, 730]",[725],0.32344213649851633
[730],"[1067, 725]",0.12406468742457157 0.1414433985034999
