A,B,confidence
"[722, 911]","[864, 482, 1058, 485, 806, 869, 2218, 1067, 2413, 910, 1721, 726, 1977, 730, 1086]",0.12389380530973451 0.12389380530973451 0.13451327433628318 0.1911504424778761 0.11858407079646018 0.22831858407079647 0.18938053097345134 0.12389380530973451 0.11681415929203541 0.16991150442477876 0.1433628318584071 0.1079646017699115 0.12566371681415928 0.14513274336283186 0.11504424778761063
"[722, 1058]",[911],0.5038759689922481
"[722, 1067]",[911],0.5614035087719298
"[722, 1086]",[911],0.5700934579439252
"[722, 2413]",[911],0.6228070175438596
[725],"[897, 730]",0.10585197934595525 0.24483648881239242
"[725, 4118]",[730],0.4219653179190752
[726],"[1721, 1052, 910]",0.223906453009961 0.16327414465136425 0.11823300129926377
"[726, 910]",[1721],0.37665782493368694
"[726, 911]","[1721, 722]",0.37104072398190047 0.411764705882353
[728],"[1569, 730, 725]",0.3126177024482109 0.18832391713747645 0.10075329566854992 0.10263653483992467
"[725, 728]",[730],0.545
"[728, 730]",[725],0.32831325301204817
[730],"[1067, 725]",0.12306540189715427 0.1420369445831253
"[722, 730]","[1721, 911]",0.5078740157480316 0.24015748031496065
"[725, 730]","[1569, 897, 1185, 970, 1067, 4118, 728, 1721]",0.13884007029876977 0.14235500878734625 0.19156414762741653 0.12829525483304044 0.14411247803163446 0.14586994727592267 0.14235500878734625 0.15992970123022848
"[726, 730]",[1721],0.3876651982378855
"[730, 910]",[1721],0.3480662983425414
"[730, 911]","[1185, 2218, 1067, 722, 1721]",0.18862275449101795 0.19461077844311378 0.3862275449101797 0.2964071856287425 0.27844311377245506
"[730, 970]",[1721],0.2226027397260274
"[730, 1067]","[897, 1185, 1569, 1130, 2218, 911, 1141, 725, 4118, 1721]",0.22718052738336714 0.1643002028397566 0.1359026369168357 0.12373225152129817 0.13995943204868153 0.15010141987829614 0.127789046653144 0.18864097363083165 0.14198782961460446 0.12170385395537525
"[730, 1130]",[1067],0.3382352941176471
"[730, 1141]","[1569, 1185, 1067, 4118, 1721]",0.20253164556962028 0.1930379746835443 0.22468354430379747 0.20886075949367092 0.259493670886076
"[730, 2218]",[911],0.28508771929824567
"[730, 4118]","[1141, 1067, 725]",0.3333333333333333 0.21726190476190477 0.21130952380952378
[738],"[911, 2845, 1058, 2851, 806, 2218, 1977, 954, 1086, 2753, 2884, 722, 730, 4059, 482, 869, 485, 2413, 2414]",0.13997308209959622 0.1480484522207268 0.11440107671601615 0.10228802153432033 0.2772543741588156 0.2018842530282638 0.11574697173620457 0.1736204576043069 0.1009421265141319 0.10901749663526246 0.10228802153432033 0.11843876177658143 0.15612382234185734 0.19919246298788695 0.10901749663526246 0.1816958277254374 0.17092866756393 0.12113055181695828 0.12516823687752357 0.10767160161507403
"[738, 2851]","[2753, 954]",0.4133333333333333 0.4266666666666667
"[738, 4059]",[2753],0.5925925925925926
[758],"[730, 725, 726]",0.12180746561886051 0.12180746561886051 0.1512770137524558
[770],[730],0.2019543973941368
[771],"[910, 911, 722, 726, 1721, 730]",0.21136363636363636 0.15 0.15454545454545454 0.19999999999999998 0.13636363636363635 0.14772727272727273
[775],[897],0.20797227036395147
[780],"[824, 730, 822, 823]",0.1117078410311493 0.10526315789473685 0.11439312567132116 0.16380236305048335
"[780, 822]",[823],0.3846153846153846
"[780, 823]","[824, 668, 822]",0.19672131147540986 0.26229508196721313 0.219672131147541
[788],"[584, 817, 850, 1462, 856, 1018, 3451, 2812]",0.15316315205327413 0.1453940066592675 0.14872364039955605 0.11764705882352941 0.10210876803551609 0.11320754716981132 0.12541620421753608 0.20310765815760268
"[788, 2812]",[1018],0.5754716981132075
[806],"[482, 1058, 2884, 485, 869, 2218, 2413, 911, 722, 1977, 954, 2845]",0.11463414634146342 0.1016260162601626 0.10813008130081302 0.13170731707317074 0.13170731707317074 0.14878048780487807 0.15365853658536585 0.10487804878048781 0.1626016260162602 0.14146341463414636 0.18455284552845527 0.11300813008130081
"[806, 911]",[722],0.4757709251101322
[812],"[584, 817, 850, 1462, 1463]",0.16510318949343336 0.1144465290806754 0.11819887429643525 0.13133208255159473 0.18386491557223264
[817],"[584, 850, 1462, 856, 1018, 2812]",0.13371104815864024 0.115014164305949 0.17280453257790365 0.15807365439093485 0.173371104815864 0.11841359773371105
"[660, 817]",[1462],0.47328244274809156
"[817, 830]","[1018, 2812]",0.5373134328358209 0.5149253731343283
"[817, 850]","[584, 3451, 856, 1462]",0.3154121863799283 0.34050179211469533 0.23297491039426524 0.22939068100358423
"[817, 1018]","[584, 2812, 830, 1462]",0.5369458128078818 0.354679802955665 0.4088669950738916 0.3448275862068965
"[817, 1462]","[584, 850, 660, 1463, 1018, 2812]",0.2983606557377049 0.27213114754098366 0.2950819672131148 0.3114754098360656 0.20327868852459016 0.5049180327868853 0.20655737704918034
"[817, 1463]","[584, 1462]",0.46428571428571425 0.5357142857142857
"[817, 2812]","[830, 1018, 584, 1462]",0.461864406779661 0.3855932203389831 0.2923728813559322 0.4279661016949153 0.26694915254237284
"[817, 1462, 2812]",[584],0.6923076923076922
"[817, 3451]",[850],0.435374149659864
[822],"[824, 780, 823]",0.1602112676056338 0.18309859154929578 0.1540492957746479
"[822, 823]",[780],0.45714285714285713
[823],"[1130, 780, 822, 824, 730]",0.10120845921450151 0.10196374622356497 0.16540785498489427 0.23036253776435045 0.13217522658610273
[824],"[964, 780, 910, 726, 823]",0.10631408526713437 0.10631408526713437 0.11818672423097679 0.1149487317862925 0.10469508904479222
"[726, 824]",[910],0.3350515463917526
"[780, 824]",[823],0.3145539906103286
"[823, 824]",[780],0.3059360730593607
"[824, 910]",[726],0.3299492385786802
[828],"[850, 3451, 3906, 1462]",0.17275747508305647 0.2790697674418604 0.12956810631229235 0.10741971207087485
[830],"[2452, 660, 1462, 1018, 2812, 543]",0.15764806135492118 0.16574350234341712 0.2616105666808692 0.11589262888794205 0.11163187047294418 0.3297827013208351 0.1597784405624201
"[543, 830]","[3906, 584, 660, 2452, 1462, 1018, 2812]",0.19459459459459458 0.16756756756756755 0.3972972972972973 0.3405405405405405 0.1837837837837838 0.2648648648648649 0.5027027027027027 0.26756756756756755 0.17297297297297298 0.2135135135135135 0.18918918918918917
"[830, 1018, 1462]","[584, 2452, 2812, 543]",0.5745614035087719 0.32894736842105265 0.368421052631579 0.34649122807017546 0.28508771929824567
"[830, 1018, 1462, 2812]",[584],0.4961832061068702
"[830, 1462]","[3906, 584, 850, 2452, 660, 1463, 1018, 2812, 543]",0.18251928020565553 0.3007712082262211 0.17223650385604114 0.32390745501285345 0.5861182519280206 0.23393316195372751 0.23393316195372751 0.23393316195372751 0.33676092544987146 0.19280205655526994 0.2159383033419023 0.17737789203084833 0.2030848329048843 0.17994858611825193 0.16709511568123395
"[543, 830, 1462]","[1018, 2812]",0.626984126984127 0.5555555555555556
"[830, 1463]",[1462],0.6036036036036037
"[830, 1462, 2452]","[1018, 2812]",0.6410256410256411 0.5897435897435898
"[830, 1462, 2812]","[584, 1018, 2452, 543]",0.4945652173913044 0.7119565217391305 0.375 0.3804347826086956 0.3532608695652174
"[830, 3031]",[1018],0.4444444444444444
[842],[1462],0.19726027397260273
[850],"[584, 817, 3451, 1462]",0.11080657791699296 0.10924040720438528 0.1534847298355521 0.13508222396241193
"[543, 850]",[1462],0.3448275862068966
"[828, 850]",[3451],0.29761904761904767
"[830, 850]","[1018, 2812, 1462]",0.37566137566137564 0.37566137566137564 0.4814814814814815
"[850, 1018]",[584],0.3179916317991632
"[850, 1462]","[3906, 584, 4817, 817, 2452, 1463, 1018, 3451, 2812, 830, 543]",0.18112244897959182 0.1530612244897959 0.2193877551020408 0.23724489795918366 0.2423469387755102 0.2704081632653061 0.35459183673469385 0.18622448979591838 0.1530612244897959 0.2423469387755102 0.19387755102040816
"[850, 1463]",[1462],0.5042016806722689
"[850, 2452]",[1462],0.47500000000000003
"[850, 2812]","[830, 1018, 584, 1462]",0.42786069651741293 0.3532338308457711 0.4427860696517413 0.4825870646766169
"[850, 3451]","[3906, 584, 817, 1462, 1018, 828]",0.17681159420289855 0.1797101449275362 0.1797101449275362 0.2753623188405797 0.21739130434782608 0.1855072463768116
"[850, 3906]","[584, 1462]",0.3924050632911393 0.2911392405063291
[856],"[584, 817, 850, 788, 1462, 1018, 3451, 2812]",0.14393939393939395 0.17340067340067342 0.11616161616161616 0.11195286195286196 0.11363636363636365 0.11784511784511785 0.17592592592592593 0.12205387205387207
"[817, 856]",[850],0.31100478468899523
"[850, 856]",[817],0.3155339805825243
"[856, 1018]",[2812],0.5357142857142858
"[856, 2812]",[1018],0.4385964912280702
[861],"[584, 817, 850, 1462, 1018, 1403, 2812, 830]",0.11645101663585951 0.2846580406654344 0.15526802218114602 0.19038817005545286 0.16451016635859517 0.13863216266173753 0.11829944547134935 0.19593345656192235 0.12199630314232902
"[861, 1462]",[584],0.4285714285714286
[864],"[730, 722, 911]",0.3242320819112628 0.33788395904436863 0.22525597269624575 0.22525597269624575
"[722, 864]",[911],0.6947368421052632
"[864, 911]",[722],0.6666666666666666
[869],"[482, 1058, 485, 2218, 1067, 911, 730]",0.13009708737864079 0.19741100323624594 0.10226537216828478 0.12880258899676375 0.1203883495145631 0.12103559870550161 0.13592233009708737
"[485, 869]",[2218],0.373134328358209
"[869, 911]","[722, 2218]",0.3368983957219251 0.37433155080213903
[875],"[897, 1537, 4771, 1764, 1130, 1514, 3324]",0.10414269275028769 0.19907940161104717 0.12370540851553509 0.17261219792865362 0.10299194476409666 0.18411967779056385 0.13521288837744533 0.1001150747986191
"[875, 1003]","[1764, 1135]",0.39263803680981596 0.4171779141104294
"[875, 1135]","[1130, 1003, 1764]",0.3878787878787879 0.40606060606060607 0.3878787878787879
"[875, 1514, 4771]",[1537],0.6187050359712231
"[875, 1537, 4771]",[1514],0.7478260869565216
"[875, 1764]","[1537, 1514, 1003, 1130, 1135, 3324]",0.2595744680851064 0.2851063829787234 0.348936170212766 0.2893617021276596 0.29787234042553196 0.31489361702127666
"[875, 3324]","[1537, 1130, 1514, 1764]",0.3314917127071823 0.36464088397790057 0.40331491712707185 0.4088397790055249
"[875, 4771]","[1537, 1130, 1514]",0.5348837209302325 0.33953488372093027 0.6465116279069767 0.39999999999999997
"[725, 897]",[730],0.33333333333333337
"[730, 897]","[1185, 1067, 725]",0.18548387096774194 0.18010752688172044 0.22043010752688172
"[897, 1067]",[730],0.32524271844660196
"[897, 1130]","[1537, 1514, 1764]",0.19230769230769232 0.18934911242603553 0.22781065088757396
"[897, 1514]","[1537, 1130, 4771, 1764]",0.41503267973856206 0.3235294117647059 0.25163398692810457 0.261437908496732
"[897, 1537]","[1514, 4771]",0.616504854368932 0.3155339805825243
"[897, 1764]","[3324, 1130, 1514]",0.24242424242424243 0.303030303030303 0.26515151515151514
"[897, 3324]",[1764],0.4216867469879518
"[897, 4771]","[1537, 1514]",0.6556291390728477 0.43046357615894043
[902],[726],0.11627906976744184
[908],"[824, 668, 730, 780]",0.1264864864864865 0.14270270270270272 0.11027027027027027 0.11891891891891893
[909],"[648, 1190]",0.18409090909090908 0.2992424242424242
"[909, 1190]",[648],0.30886075949367087
[910],"[1721, 726]",0.17135325131810192 0.16564147627416523
"[726, 910]","[824, 1052]",0.2068965517241379 0.1724137931034483
"[910, 911]","[1721, 722]",0.350253807106599 0.38578680203045684
[911],"[1058, 806, 2218, 1067, 910, 722, 726, 1721, 730]",0.1704081632653061 0.12551020408163263 0.16122448979591836 0.28826530612244894 0.11275510204081632 0.1357142857142857 0.11581632653061223 0.10051020408163265 0.10612244897959183
[940],"[1266, 1427, 1462]",0.1690340909090909 0.10653409090909091 0.10511363636363638
[951],"[648, 909, 1190]",0.2489878542510121 0.2874493927125506 0.15587044534412955 0.13967611336032387
