A,B,lift
"[584, 2452, 2812]",[1462],17.71354122170013
"[3324, 4771]",[1514],17.689029030291564
"[1003, 1135, 1764]",[3324],17.65221443012383
"[584, 1463, 2812]",[1462],17.644721074497323
[524],[1266],17.620074675894198
"[584, 4817]",[1462],17.600056693248188
[4059],[2851],17.57240515808429
[2851],[4059],17.57240515808429
"[1462, 2812]",[1018],17.52213895180619
"[1003, 3324]",[1764],17.521958671574723
"[2812, 4817]",[1018],17.514391963145915
"[1764, 4771]",[3324],17.511894760567998
"[584, 830, 1018]",[1462],17.473520337937252
"[1764, 3568]",[1003],17.46235390708007
"[830, 2557]",[1018],17.46142505196705
"[1764, 4771]",[1514],17.460659567665935
"[1537, 3324]",[1135],17.45459855564996
"[817, 830]",[2812],17.449502322495025
"[1764, 3568]",[3324],17.432265076169813
[2413],[2845],17.427638950022008
"[584, 1462]",[1463],17.355641355641357
[1463],"[584, 1462]",17.355641355641357
"[584, 817]",[1463],17.344480171489817
"[1514, 3935]",[1537],17.34442780542003
[2021],[2414],17.33306375162934
"[817, 1463]",[584],17.29286818136981
"[1463, 3906]",[1462],17.268086314443316
"[2812, 3906]",[1018],17.228209087931116
"[482, 2218]",[1058],17.225719110282984
"[584, 1018, 2812]",[1462],17.223898618823867
"[584, 1462, 2812]",[1018],17.1842595749517
"[1764, 3324]",[1135],17.12732483273152
"[1462, 2452]","[1018, 2812]",17.12562683165093
"[1130, 11931]",[3935],17.120004654242425
"[1018, 2452, 2812]",[830],17.08302737682107
"[1130, 1764]",[1135],17.08271363796944
"[1135, 1514]",[1537],17.076532453472186
[1829],[1615],17.04999034141316
"[648, 951]",[1190],17.042096839637527
"[897, 1537]",[1514],17.00897842294969
"[584, 1462, 1463]",[3906],17.00617147080562
"[660, 1018, 2812]",[830],16.99535788148548
"[1018, 1463]",[2812],16.96098317789593
"[1003, 4771]",[1514],16.940174569473932
"[1018, 3906]",[1462],16.923044494477594
"[584, 3906]",[1462],16.917134578467653
"[1462, 3905]",[584],16.903778647288988
"[1135, 1514, 1764]",[1537],16.899546112025536
"[482, 1058]",[2218],16.89324463225217
"[875, 1514]",[1537],16.86318834171595
[2414],[2845],16.859260399035747
"[911, 2218]",[722],16.848951945080092
"[911, 1721]",[722],16.76698004264936
"[830, 1463]",[1462],16.750931151030077
"[584, 830]",[1462],16.729966281003755
"[1462, 2452, 2812]",[830],16.727630126578653
"[817, 830]",[1018],16.720704492796543
"[1018, 3906]",[2812],16.702755061532354
"[1537, 3324]",[1514],16.69945025781013
"[485, 2218]",[2851],16.659305588200727
"[584, 2452, 2812]",[1018],16.65551312649165
"[584, 1018, 1462]",[3906],16.646252497878514
"[1130, 1764]",[3324],16.613848875410664
[2753],[2851],16.612240222935952
"[830, 1018]",[2812],16.55286244367877
[2765],[3647],16.534237871467337
"[584, 1018]",[1462],16.52808657889744
"[830, 2452]",[2812],16.504282334765605
"[1058, 2753]",[2218],16.47919451871658
"[875, 4771]",[1537],16.4732070144959
"[1514, 1764, 4771]",[1537],16.469817465727488
[1135],[1003],16.46697141048433
[1003],[1135],16.46697141048433
"[1058, 2851]",[2218],16.450733042863874
"[1462, 3906]",[584],16.441765049400825
"[1537, 4771]",[1514],16.410929678955156
"[1514, 1537]",[4771],16.40021989114745
[4771],"[1514, 1537]",16.40021989114745
"[543, 1018]",[830],16.386480712166172
"[1135, 4771]",[1514],16.37149561802596
[911],[722],16.32450921811494
[722],[911],16.32450921811494
"[1018, 1462, 2812]",[830],16.318240796109713
"[584, 660]",[1462],16.29092020456857
"[830, 1462, 2812]",[2452],16.288140561478198
"[543, 2812]",[1018],16.285798012144646
"[4771, 11931]",[1514],16.24932027759293
"[660, 2812]",[1018],16.243739997192193
"[1514, 3324, 4771]",[1537],16.239407592024538
"[1537, 1764]",[1514],16.232015357169505
"[584, 660]",[2812],16.226522207074694
"[1135, 1537]",[1003],16.194874392444724
"[850, 2812]",[584],16.190661855453293
"[584, 1463]",[1462],16.185846340205362
"[1018, 2452]",[2812],16.162451559136052
"[2452, 2812]",[1018],16.146080091025144
"[1135, 1514]",[3324],16.125206261427998
"[830, 1462]",[2812],16.076249958692706
[3059],[1764],16.07595246246393
"[1018, 4817]",[1462],16.047110514432173
"[1463, 2452]",[1462],16.047110514432173
"[1018, 2557]",[830],16.02419457397202
"[875, 1537]",[1514],15.989573759036793
"[1135, 3324]",[1764],15.960402607765154
"[1130, 1514]",[4771],15.893293564687578
"[1135, 1764]",[3324],15.872460081781792
"[1462, 4817]",[584],15.865520331478967
